state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn
RI,53,510,no,no,0,105.9,133,18.0,260.4,20,22.13,262.9,103,11.83,8.0,17,2.16,4,False
NH,19,510,yes,no,0,162.7,101,27.66,180.9,55,15.38,135.5,12,6.1,9.4,11,2.54,8,False
IA,57,408,yes,no,0,101.0,136,17.17,230.3,34,19.58,158.6,51,7.14,7.8,15,2.11,5,False
TX,25,408,no,no,0,195.7,147,33.27,266.2,43,22.63,262.8,8,11.83,13.8,2,3.73,0,False
DE,214,415,no,no,0,192.0,37,32.64,177.8,38,15.11,200.6,68,9.03,11.7,11,3.16,8,False
MA,31,415,no,yes,37,103.1,49,17.53,186.7,142,15.87,131.8,42,5.93,8.3,18,2.24,2,False
RI,81,510,no,no,0,249.5,59,42.42,204.4,139,17.37,128.6,6,5.79,7.7,19,2.08,7,False
ME,183,415,no,no,0,76.2,140,12.95,115.5,116,9.82,156.2,43,7.03,8.4,17,2.27,2,True
MN,23,415,no,no,0,265.1,118,45.07,227.1,7,19.3,200.1,171,9.0,7.5,7,2.03,7,False
HI,32,408,no,no,0,254.2,98,43.21,139.6,123,11.87,225.2,101,10.13,6.6,12,1.78,3,False
HI,190,408,no,no,0,196.5,93,33.4,241.3,100,20.51,182.2,67,8.2,12.6,7,3.4,0,False
MS,74,415,no,no,0,228.4,67,38.83,179.0,66,15.22,220.8,121,9.94,8.9,9,2.4,5,False
OK,10,408,no,no,0,170.4,152,28.97,175.0,93,14.88,176.4,76,7.94,11.1,13,3.0,6,False
SC,228,415,no,no,0,96.8,158,16.46,151.1,92,12.84,266.1,43,11.97,10.2,14,2.75,7,False
MS,200,408,no,yes,39,192.8,139,32.78,228.6,128,19.43,337.8,39,15.2,14.1,20,3.81,5,False
AZ,54,408,no,no,0,95.2,63,16.18,228.3,79,19.41,178.8,170,8.05,12.5,14,3.38,0,True
MI,52,408,no,no,0,179.4,78,30.5,177.8,41,15.11,225.9,61,10.17,11.0,5,2.97,4,False
AK,148,408,no,no,0,113.2,52,19.24,292.7,30,24.88,221.5,170,9.97,16.4,13,4.43,8,False
MS,160,415,no,no,0,232.7,25,39.56,202.7,121,17.23,207.5,146,9.34,8.0,5,2.16,2,False
UT,114,510,no,yes,3,200.5,137,34.08,200.3,73,17.03,235.3,48,10.59,9.5,0,2.57,4,False
NJ,14,408,yes,no,0,216.6,139,36.82,204.0,157,17.34,225.9,76,10.17,11.8,9,3.19,5,False
PA,178,415,no,no,0,198.4,149,33.73,166.3,42,14.14,174.6,152,7.86,12.4,18,3.35,4,False
AK,156,415,no,no,0,281.6,20,47.87,150.3,25,12.78,271.1,40,12.2,7.5,10,2.03,3,False
MA,110,408,yes,yes,38,235.2,162,39.98,181.9,11,15.46,210.9,22,9.49,9.9,2,2.67,1,True
NC,53,510,no,yes,6,272.0,70,46.24,233.3,126,19.83,179.2,42,8.06,10.1,5,2.73,4,False
ID,152,408,no,no,0,131.4,81,22.34,106.6,103,9.06,331.9,104,14.94,16.5,8,4.46,9,False
MI,79,415,no,no,0,150.7,154,25.62,124.5,68,10.58,193.7,112,8.72,11.9,8,3.21,0,False
UT,22,510,no,no,0,49.1,59,8.35,170.0,72,14.45,213.8,167,9.62,13.0,3,3.51,0,False
MO,30,415,no,yes,18,158.8,98,27.0,109.5,10,9.31,209.5,157,9.43,8.9,2,2.4,7,False
WI,191,408,no,no,0,178.1,46,30.28,128.7,46,10.94,193.0,161,8.68,7.9,19,2.13,3,False
NE,4,510,no,yes,46,203.5,142,34.6,242.3,22,20.6,224.2,109,10.09,8.8,18,2.38,0,False
TN,205,415,no,yes,0,151.3,23,25.72,178.6,80,15.18,154.4,137,6.95,11.5,10,3.11,1,False
NV,59,415,no,no,0,219.8,9,37.37,157.9,76,13.42,232.2,104,10.45,14.1,18,3.81,4,False
KS,215,415,no,no,0,216.0,119,36.72,208.1,122,17.69,105.0,59,4.72,6.0,16,1.62,6,True
IA,8,408,no,yes,12,154.4,151,26.25,206.9,166,17.59,129.9,128,5.85,15.5,7,4.19,4,False
WA,210,510,no,no,0,128.2,87,21.79,260.4,72,22.13,298.6,139,13.44,12.5,5,3.38,9,False
UT,12,408,no,yes,43,183.6,103,31.21,110.2,54,9.37,132.2,173,5.95,12.8,4,3.46,5,True
AZ,119,408,no,yes,23,185.4,123,31.52,153.8,17,13.07,94.2,92,4.24,12.6,7,3.4,6,False
OR,159,408,no,yes,31,147.2,33,25.02,170.6,93,14.5,133.5,74,6.01,8.9,7,2.4,2,False
CT,206,510,no,no,0,166.0,40,28.22,220.9,169,18.78,294.0,144,13.23,9.6,2,2.59,9,False
MA,34,408,no,yes,5,103.4,10,17.58,348.5,153,29.62,103.2,57,4.64,11.9,18,3.21,4,False
FL,82,408,no,no,0,216.6,0,36.82,230.9,17,19.63,148.4,37,6.68,9.3,15,2.51,7,False
RI,98,408,no,yes,32,217.5,157,36.98,187.4,127,15.93,121.3,5,5.46,10.7,9,2.89,5,False
LA,127,408,no,no,0,182.6,81,31.04,139.1,40,11.82,185.2,137,8.33,8.1,2,2.19,1,False
AR,75,415,no,yes,22,221.3,25,37.62,132.7,169,11.28,176.5,25,7.94,12.2,8,3.29,8,False
MO,105,408,no,no,0,187.1,52,31.81,247.1,32,21.0,174.0,57,7.83,9.6,7,2.59,1,False
IN,204,415,no,no,0,267.3,124,45.44,160.5,42,13.64,300.2,16,13.51,8.9,7,2.4,5,False
WY,49,408,no,no,0,110.0,8,18.7,182.9,13,15.55,135.2,52,6.08,7.7,7,2.08,1,False
FL,79,510,no,no,0,190.9,8,32.45,285.5,57,24.27,194.5,4,8.75,8.1,19,2.19,9,True
MT,185,415,no,no,0,228.8,128,38.9,113.6,137,9.66,218.3,66,9.82,6.3,6,1.7,6,False
AK,223,415,no,no,0,260.6,58,44.3,214.8,27,18.26,147.1,106,6.62,11.2,13,3.02,0,False
MD,241,415,no,yes,7,222.8,105,37.88,154.9,13,13.17,226.3,147,10.18,8.3,16,2.24,3,False
NV,93,415,no,no,0,123.9,124,21.06,284.4,153,24.17,178.4,173,8.03,9.9,11,2.67,7,False
WA,154,510,no,no,0,90.6,15,15.4,153.1,73,13.01,220.2,66,9.91,13.4,4,3.62,8,False
CT,18,408,no,no,0,170.8,37,29.04,235.1,144,19.98,194.2,130,8.74,9.7,1,2.62,9,False
UT,96,415,no,no,0,199.5,138,33.92,108.8,161,9.25,89.3,150,4.02,9.6,14,2.59,2,False
DE,214,510,yes,no,0,231.0,152,39.27,280.2,13,23.82,270.5,136,12.17,9.9,10,2.67,8,False
WA,38,415,no,no,0,120.8,58,20.54,247.9,153,21.07,311.8,138,14.03,10.8,14,2.92,7,False
OH,387,408,no,no,0,213.0,28,36.21,172.6,161,14.67,190.5,174,8.57,8.7,12,2.35,3,True
IN,87,415,yes,no,0,35.4,7,6.02,221.0,23,18.78,151.5,171,6.82,12.4,18,3.35,0,True
KY,88,510,no,no,0,140.1,97,23.82,249.8,103,21.23,281.3,112,12.66,10.4,11,2.81,9,False
OK,50,408,no,no,0,226.5,133,38.51,208.8,69,17.75,302.1,140,13.59,8.5,14,2.3,4,False
WY,8,510,no,no,0,115.7,108,19.67,181.2,19,15.4,190.9,135,8.59,9.0,11,2.43,6,False
SC,169,408,no,no,0,120.4,107,20.47,196.0,166,16.66,188.2,21,8.47,13.2,17,3.56,4,False
